citation_key,item_type,title,year,journal,volume,issue,pages,doi,pmid,keywords,source_collection,source_query,url
Akinlawon2026Epigeneticmediatorsofdietan,article,Epigenetic mediators of diet and lifestyle and insulin resistance.,2026,Genes Nutr,21,1,2,10.1186/s12263-025-00792-7,41580603,thesis-body; xct-slc7a11-genetics,thesis-body,xct-slc7a11-genetics,https://pubmed.ncbi.nlm.nih.gov/41580603/
GarcíaGarcía2026Rifampicinresistanttuber,article,Rifampicin-resistant tuberculosis in Spain.,2026,ERJ Open Res,12,1,,10.1183/23120541.00941-2025,41736728,thesis-body; drtb-short-regimen-outcomes,thesis-body,drtb-short-regimen-outcomes,https://pubmed.ncbi.nlm.nih.gov/41736728/
Sobol2026Transmissionofbedaquilineresist,article,"Transmission of bedaquiline-resistant Mycobacterium tuberculosis in KwaZulu-Natal, South Africa.",2026,Am J Respir Crit Care Med,212,1,138-147,10.1164/rccm.202506-1489OC,41026808,thesis-body; drtb-short-regimen-outcomes,thesis-body,drtb-short-regimen-outcomes,https://pubmed.ncbi.nlm.nih.gov/41026808/
Wang2013The159CTpolymorphismintheCD14gen,article,The -159C/T polymorphism in the CD14 gene and tuberculosis risk: a meta-analysis.,2013,Int J Med Sci,10,11,1524-9,10.7150/ijms.6376,24046527,thesis-review; host-genetics-precision,thesis-review,host-genetics-precision,https://pubmed.ncbi.nlm.nih.gov/24046527/
Yi2014AmetaanalysisofP2X7gene762TCpolymo,article,A meta-analysis of P2X7 gene-762T/C polymorphism and pulmonary tuberculosis susceptibility.,2014,PLoS One,9,5,e96359,10.1371/journal.pone.0096359,24810548,thesis-review; host-genetics-precision,thesis-review,host-genetics-precision,https://pubmed.ncbi.nlm.nih.gov/24810548/
Rajaram2014Macrophageimmunoregulatorypat,article,Macrophage immunoregulatory pathways in tuberculosis.,2014,Semin Immunol,26,6,471-85,10.1016/j.smim.2014.09.010,25453226,thesis-review; tb-macrophage-immunity,thesis-review,tb-macrophage-immunity,https://pubmed.ncbi.nlm.nih.gov/25453226/
Wallis2015Advancinghostdirectedtherapyfo,article,Advancing host-directed therapy for tuberculosis.,2015,Nat Rev Immunol,15,4,255-63,10.1038/nri3813,25765201,hdt-review; tb-macrophage-immunity; thesis-review,thesis-review,hdt-review,https://pubmed.ncbi.nlm.nih.gov/25765201/
Tobin2015HostDirectedTherapiesforTubercu,article,Host-Directed Therapies for Tuberculosis.,2015,Cold Spring Harb Perspect Med,5,10,,10.1101/cshperspect.a021196,25986592,thesis-review; hdt-review,thesis-review,hdt-review,https://pubmed.ncbi.nlm.nih.gov/25986592/
Zumla2015Inflammationandtuberculosishost,article,Inflammation and tuberculosis: host-directed therapies.,2015,J Intern Med,277,4,373-87,10.1111/joim.12256,24717092,thesis-review; hdt-review,thesis-review,hdt-review,https://pubmed.ncbi.nlm.nih.gov/24717092/
Sun2015VitaminDreceptorFokIgenepolymorph,article,Vitamin D receptor FokI gene polymorphism and tuberculosis susceptibility: a meta-analysis.,2015,Genet Mol Res,14,2,6156-63,10.4238/2015.June.9.1,26125816,thesis-review; host-genetics-precision,thesis-review,host-genetics-precision,https://pubmed.ncbi.nlm.nih.gov/26125816/
